id_region,id_cabang,id_uker,User,Nama,Type Uker,Role,Password
317,317,317,RSF,REGIONAL STRATEGY AND FINANCE,RO,Admin,RSF54321
317,317,317,RCEO,REGIONAL CEO,RO,User,RSF54321
317,317,317,RSBH,REGIONAL SME BANKING HEAD,RO,User,RSF54321
317,317,317,RMBH,REGIONAL MICRO BANKING HEAD,RO,User,RSF54321
317,317,317,RFTH,REGIONAL FUNDING & RETAIL TRANSACTION BANKING HEAD,RO,User,RSF54321
317,317,317,RCBH,REGIONAL CONSUMER BANKING HEAD,RO,User,RSF54321
317,317,317,RBSH,REGIONAL BUSINESS SUPPORT HEAD,RO,User,RSF54321
317,317,317,RRM,REGIONAL RISK MANAGEMENT HEAD,RO,User,RSF54321
317,317,317,AHX1,AREA HEAD FATMAWATI,RO,User,RSF54321
317,317,317,AHX2,AREA HEAD BEKASI,RO,User,RSF54321
317,317,317,AHX3,AREA HEAD BOGOR,RO,User,RSF54321
317,317,317,AHX4,AREA HEAD WARUNG BUNCIT,RO,User,RSF54321
317,317,317,AHX5,AREA HEAD GATOT SUBROTO,RO,User,RSF54321
317,317,317,USL,UNSECURED LOAN,RO,User,RSF54321
317,317,317,SMEQ,SME QUALITY,RO,User,RSF54321
317,317,317,MCS,MICRO CONSUMER & SMALL RISK,RO,User,RSF54321
317,317,317,RTD,RETAIL TRANSACTION,RO,User,RSF54321
317,317,317,RFD,RETAIL FUNDING,RO,User,RSF54321
317,317,317,RHC,HUMAN CAPITAL & BUSINESS PARTNER,RO,User,RSF54321
317,317,317,UMI,ULTRA MICRO BUSINESS,RO,User,RSF54321
317,317,317,RSR,SME RECOVERY,RO,User,RSF54321
317,317,317,CCR,COMMERCIAL CREDIT RISK,RO,User,RSF54321
317,317,317,CLF,CONSUMER LOAN FACTORY,RO,User,RSF54321
317,317,317,SBD,SMALL BUSINESS,RO,User,RSF54321
317,317,317,MICRO,MICRO BUSINESS,RO,User,RSF54321
317,317,317,RTB,TRANSACTION BANKING,RO,User,RSF54321
317,317,317,SCL,SECURE LOAN & CARD BUSINESS,RO,User,RSF54321
317,317,317,MEDIUM,MEDIUM BUSINESS,RO,User,RSF54321
317,319,319,JKT20319,KC Cikarang,BO,User,RSF54321
317,426,426,JKT20426,KC Jakarta Menara   BRILiaN,BO,User,RSF54321
